,Maki Harukawa
Watch a documentary on bugs,Y
Watch a documentary on athletes,G
Watch a documentary on assassins,R
Watch an action movie,R
Watch a comedy movie,G
Watch an anime movie,Y
I might fall asleep...,O
Play dominoes with the movie boxes,G
"We should focus on reality, not movies",R
Let's cook something,G
Let's go through the trash,R
Let's wash the dishes,Y
Let's go in the freezer,O
Let's have some tea,G
Let's try fasting,R
Drinking green tea after a meal,G
Drinking coffee after a meal,O
Getting horny after a meal,R
Let's read a dirty book,R
Let's read manga,G
This is boring...,Y
Let's study,Y
I want to scream really loud!,R
Let's read a picture book,G
Let's read a novel,G
Let's look at a photobook of unexplored places,Y
Let's read the bible,R
Let's get our bodies moving,Y
Let's clean up a little,G
I'm tired...,R
Let's do some muscle training,G
"Ah, maybe we should take off our clothes?",R
Let's do some image training,Y
Let's play dodgeball,G
I'll just watch you...,O
Let's burn this place to the ground,R
Let's get some fresh air,Y
Let's go for a run,G
Let's assassinate someone,R
Let's relax in the sun,O
Let's dance!,R
What a great view...,G
I've gotten used to being here...,O
I want to get outside as soon as I can...,R
Staying here forever wouldn't be so bad,G
