,Himiko Yumeno
Watch a documentary on bugs,R
Watch a documentary on athletes,G
Watch a documentary on magic tricks,Y
Watch an action movie,R
Watch a comedy movie,Y
Watch an anime movie,G
I might fall asleep...,Y
Play dominoes with the movie boxes,G
"We should focus on reality, not movies",O
Let's cook something,R
Let's bake something,Y
Let's drink something,G
Let's go in the freezer,G
Let's have some tea,Y
Let's try fasting,R
Drinking green tea after a meal,Y
Sleeping after a meal,G
Exercising after a meal,R
Let's read a dirty book,G
Let's read manga,O
This is boring...,Y
Let's study,G
I'm getting sleepy...,R
Sure is dusty in here,Y
Let's read a grimoire,G
I want to scream really loud!,O
Let's make a tower of books,Y
Let's get our bodies moving,O
Let's clean up a little,Y
I'm tired...,G
Let's play basketball,O
"Ah, maybe we should take off our clothes?",R
Let's warm up a bit,G
Let's play dodgeball,O
I'll be the referee,Y
Let's burn this place to the ground,G
Let's get some fresh air,G
Let's go for a run,R
Let's go back inside,O
Let's relax in the sun,Y
Let's dance!,R
What a great view...,G
I've gotten used to being here...,O
I want to get outside as soon as I can...,G
Staying here forever wouldn't be so bad,R
