,K1-B0
Watch a documentary on bugs,Y
Watch a documentary on robot manufacturing,G
Watch a documentary on idols,O
Watch an action movie,O
Watch a comedy movie,Y
Watch an anime movie,G
Let's drink some soda,R
Let's have a sword fight with rolled-up posters,O
Let's shoot a video of us,G
Let's cook something,Y
Let's eat candy,G
Let's drink something,R
Let's go in the freezer,R
Let's just be lazy...,G
Let's try fasting,O
Getting horny after a meal,R
Napping after a meal,Y
Exercising after a meal,G
Let's read a dirty book,R
Let's read manga,G
This is boring...,O
Let's study,Y
I'm getting sleepy...,O
Sure is dusty in here,G
Let's read a book about robots,R
I want to scream really loud!,O
Let's write a book,G
Wanna try being in a play?,G
Wanna try meditating?,Y
Wanna try forming a choir?,R
Let's play basketball,Y
"Ah, maybe we should take off our clothes?",O
Let's warm up a bit,G
Let's play dodgeball,Y
I'll be the referee,O
Let's burn this place to the ground,R
Let's get some fresh air,G
Let's go for a run,Y
Let's relax in the sun,O
What a great view...,G
Let's dance!,Y
Let's go back inside,O
Let's play catch,G
Let's run a marathon,O
Let's play word chain,R
