,Kaede Akamatsu
Watch a documentary on bugs,O
Watch a documentary on pianists,Y
Watch a documentary on detectives,G
Watch a comedy movie,Y
Watch a horror movie,O
Watch a musical movie,G
I might fall asleep...,G
Play dominoes with the movie boxes,O
"We should focus on reality, not movies",R
Let's cook something,G
Let's bake something,Y
Let's drink something,O
Let's go in the freezer,O
Let's have some tea,G
Let's try fasting,R
Drinking green tea after a meal,Y
Sleeping after a meal,G
Exercising after a meal,O
Let's read a dirty book,R
Let's read manga,G
This is boring...,O
Let's study,O
I'm getting sleepy...,G
Sure is dusty in here,Y
Let's look at a photo book of pianos,G
I want to scream really loud!,O
Let's make a tower of books,Y
Let's get our bodies moving,G
Let's clean up a little,Y
I'm tired...,O
Let's play basketball,R
"Ah, maybe we should take off our clothes?",O
We should stretch,G
Let's train... our minds...,O
I'll just watch you...,G
Let's burn this place to the ground,R
Let's get some fresh air,G
Let's go for a run,Y
Let's go back inside,R
Let's relax in the sun,G
Let's dance!,Y
What a great view...,O
I've gotten used to being here...,O
I want to get outside as soon as I can...,G
Staying here forever wouldn't be so bad,R
