,Kaito Momota
Watch a documentary on bugs,Y
Watch a documentary on athletes,G
Watch a documentary on aliens,O
Watch a comedy movie,Y
Watch a horror movie,R
Watch an action movie,G
I might fall asleep...,O
Play dominoes with the movie boxes,Y
We should focus on reality, not movies,G
Let's cook something,G
Let's bake something,O
Let's drink something,Y
Let's go in the freezer,G
Let's have some tea,Y
Let's try fasting,O
Drinking green tea after a meal,Y
Sleeping after a meal,G
Exercising after a meal,O
Let's read a dirty book,Y
Let's read manga,G
This is boring...,O
Let's study,G
I'm getting sleepy...,Y
Sure is dusty in here,O
Let's look through photographs,G
I want to scream really loud!,O
Let's make a tower of books,Y
Let's do some muscle training,G
Let's renovate the place,O
I'm tired...,R
Let's play basketball,G
Let's warm up a bit,Y
Ah, maybe we should take off our clothes?,O
Let's train... our minds...,G
I'll be the referee,Y
Let's burn this place to the ground,R
Let's get some fresh air,G
Let's go for a run,Y
Let's go back inside,R
Let's relax in the sun,G
Let's dance!,Y
What a great view...,O
I've gotten used to being here...,O
I want to get outside as soon as I can...,G
Staying here forever wouldn't be so bad,R
