,Tsumugi Shirogane
Watch a documentary on bugs,Y
Watch a documentary on cosplayers,O
Watch a documentary about anime,G
Watch a comedy movie,Y
Watch a horror movie,O
Watch an anime movie,G
I might fall asleep...,G
Play dominoes with the movie boxes,Y
"We should focus on reality, not movies",R
Let's cook something,G
Let's bake something,Y
Let's drink something,O
Let's go in the freezer,Y
Let's have some tea,G
Let's try fasting,R
Drinking green tea after a meal,Y
Sleeping after a meal,O
Exercising after a meal,G
Let's read a dirty book,O
Let's read manga,G
This is boring...,R
Let's study,G
I'm getting sleepy...,Y
Sure is dusty in here,R
Let's look at a photo album of uniforms,Y
I want to scream really loud!,G
Let's make a tower of books,O
Let's get our bodies moving,G
Let's clean up a little,Y
I'm tired...,O
Let's play basketball,G
"Ah, maybe we should take off our clothes?",O
Let's warm up a bit,Y
Let's train... our minds...,G
I'll be the referee,O
Let's burn this place to the ground,R
Let's get some fresh air,Y
Let's go for a run,R
Let's go back inside,G
Let's relax in the sun,O
Let's dance!,G
What a great view...,Y
I've gotten used to being here...,Y
I want to get outside as soon as I can...,R
Staying here forever wouldn't be so bad,G
